UNITID,XF3A01,F3A01,XF3A02,F3A02,XF3A03,F3A03,XF3A04,F3A04,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3D01,F3D01,XF3D02,F3D02,XF3D03,F3D03,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D08,F3D08,XF3D09,F3D09,XF3E01,F3E01,XF3E02,F3E02,XF3E03,F3E03,XF3E04,F3E04,XF3E05,F3E05,XF3E06,F3E06,XF3E07,F3E07   
101116,"R",9104536,"R",4974494,"R",4130042,"R",9104536,"R",13356290,"R",10052013,"R",-1187184,"R",2117093,"R",-2098710,"R",4111659,"R",0,"R",4130042,"R",3378286,"R",212858,"R",1098847,"R",303214,"R",4993205,"R",4993205,"R",0,"R",8036223,"R",3591143,"R",1098847,"R",0,"R",0,"R",0,"R",630077,"R",0,"R",13356290,"R",2522429,"R",0,"R",7063186,"R",466398,"R",0,"R",0,"R",10052013
101277,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",19572,"R",0,"R",19572,"R",0,"R",0,"R",168932,"R",0,"R",0,"R",0,"R",0,"R",56945,"A",,"R",0,"R",225877,"R",140377,"Z",0,"R",44247,"A",,"R",0,"R",0,"R",184624
101365,"R",11507266,"R",1032576,"R",10474690,"R",11507266,"R",6471926,"R",5479788,"R",-152109,"R",840029,"A",,"R",9632821,"R",1840,"R",10474690,"R",1946184,"R",69228,"R",20310,"R",40784,"R",2076506,"R",2076506,"Z",0,"R",6471926,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",6471926,"R",2879162,"Z",0,"R",2600626,"Z",0,"Z",0,"R",0,"R",5479788
101958,"R",164000,"R",30201,"R",133799,"R",164000,"R",986212,"R",804111,"R",-94600,"R",87501,"R",-173000,"R",118090,"R",101208,"R",133799,"R",280460,"R",0,"R",0,"R",0,"R",280460,"R",0,"R",0,"R",916000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",70212,"R",986212,"R",307000,"R",0,"R",0,"R",84000,"R",0,"R",413111,"R",804111
102845,"R",20428724,"R",4865928,"R",15562796,"R",20428724,"R",38524166,"R",36763228,"R",-359039,"R",1401899,"R",0,"R",14160897,"R",0,"R",15562796,"R",9763677,"R",387147,"R",347545,"Z",0,"R",10498369,"R",150933,"Z",0,"R",38518242,"Z",0,"Z",0,"Z",0,"R",5924,"Z",0,"Z",0,"R",0,"R",38524166,"R",13979254,"Z",0,"R",20745135,"Z",0,"Z",0,"R",2038839,"R",36763228
103501,"R",5404789,"R",1441209,"R",3963580,"R",5404789,"R",4955826,"R",4482016,"R",0,"R",473810,"A",,"A",,"R",3489770,"R",3963580,"R",1517404,"R",34454,"R",283415,"R",18439,"R",1853712,"Z",0,"Z",0,"R",4873595,"R",0,"R",0,"R",0,"R",1620,"R",80611,"R",0,"R",0,"R",4955826,"R",1377962,"R",0,"R",3104054,"R",0,"R",0,"R",0,"R",4482016
103644,"R",37307924,"R",2976204,"R",34331720,"R",37307924,"R",80050537,"R",79789291,"R",0,"R",261246,"R",-984057,"R",35054531,"R",0,"R",34331720,"R",24131639,"R",141543,"R",3078,"R",0,"R",24276260,"R",0,"R",0,"R",80050537,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",80050537,"R",36043377,"R",0,"R",43745914,"R",0,"R",0,"R",0,"R",79789291
103723,"R",13679561,"R",7464258,"R",6215303,"R",13679561,"R",25055531,"R",22645002,"R",-890954,"R",1519575,"R",-29995252,"R",34690980,"R",0,"R",6215303,"R",4500276,"R",657791,"R",78797,"Z",0,"R",5236864,"R",221565,"Z",0,"R",21261863,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3457738,"R",335930,"R",25055531,"R",4010541,"Z",0,"R",13933835,"R",2673744,"Z",0,"R",2026882,"R",22645002
103732,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",477111,"R",2250,"R",0,"R",6283,"R",485644,"Z",0,"Z",0,"R",1105824,"Z",0,"Z",0,"Z",0,"Z",0,"R",153961,"A",,"R",100509,"R",1360294,"R",1124375,"Z",0,"R",98365,"A",,"Z",0,"R",0,"R",1222740
103741,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",952938,"R",5400,"R",39138,"R",1800,"R",999276,"Z",0,"Z",0,"R",1798908,"Z",0,"Z",0,"Z",0,"Z",0,"R",162890,"A",,"R",217687,"R",2179485,"R",1657604,"Z",0,"R",103217,"A",,"Z",0,"R",0,"R",1760821
103811,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3776385,"R",0,"R",2794,"R",0,"R",3779179,"R",3779179,"R",0,"R",8258131,"R",0,"R",0,"R",0,"R",41791,"R",0,"A",,"R",3779179,"R",12079101,"R",4001260,"R",0,"R",6827644,"A",,"R",0,"R",1419360,"R",12248264
103893,"R",134562878,"R",25881640,"R",108681238,"R",134562878,"C",102412556,"R",87515175,"R",0,"R",14897379,"R",0,"R",93783868,"R",-9,"R",108681238,"R",3845122,"R",228598,"R",0,"R",0,"R",4073720,"R",0,"R",0,"R",11024073,"R",0,"R",0,"R",0,"R",5256,"R",0,"R",0,"R",520484,"R",11549813,"R",5470946,"R",0,"R",2076115,"R",0,"R",0,"R",43,"R",7547104
103909,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3970474,"R",495888,"R",0,"R",0,"R",4466362,"R",0,"R",0,"R",14433448,"R",0,"R",0,"R",0,"R",13166,"R",0,"R",0,"R",999752,"R",15446366,"R",9618158,"R",0,"R",2989340,"R",0,"R",0,"R",64,"R",12607562
103927,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3037028,"R",295496,"R",0,"R",0,"R",3332524,"R",0,"R",0,"R",8488981,"R",0,"R",0,"R",0,"R",6070,"R",0,"R",0,"R",432060,"R",8927111,"R",4550019,"R",0,"R",2040085,"R",0,"R",0,"R",77,"R",6590181
103945,"R",7319526,"R",974791,"R",6344735,"R",7319526,"R",5840261,"R",3821494,"R",0,"R",2018767,"A",,"R",688111,"R",3637857,"R",6344735,"R",1883891,"R",22252,"R",0,"R",28318,"R",1934461,"R",0,"R",0,"R",5840261,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5840261,"R",895522,"R",0,"R",1755796,"R",0,"R",0,"R",1170176,"R",3821494
103954,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",336865,"R",6050,"R",0,"R",0,"R",342915,"R",0,"R",0,"R",895494,"R",0,"R",0,"R",0,"R",2145,"R",108671,"A",,"R",0,"R",1006310,"R",223258,"R",0,"R",381343,"A",,"R",0,"R",0,"R",604601
103963,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",8582978,"R",730271,"R",822339,"R",100671,"R",10236259,"R",1306,"R",0,"R",28098665,"R",0,"R",0,"R",0,"R",7592,"R",0,"A",,"R",14438,"R",28120695,"R",6791278,"R",0,"R",6023451,"A",,"R",0,"R",9582554,"R",22397283
104090,"R",24649324,"R",16667909,"R",7981415,"R",24649324,"R",53038233,"R",46883910,"R",0,"R",6154323,"R",-2527150,"R",4354242,"R",0,"R",7981415,"R",16014869,"R",92375,"R",0,"R",703370,"R",16810614,"R",0,"R",0,"R",52978570,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",59663,"R",53038233,"R",14779038,"Z",0,"R",27042411,"Z",0,"Z",0,"R",5062461,"R",46883910
104188,"R",4647703,"R",2091761,"R",2555942,"R",4647703,"R",7757075,"R",7648318,"R",27153,"R",135910,"R",57679,"R",2455032,"R",-92679,"R",2555942,"R",1696216,"R",99450,"R",5425,"R",0,"R",1801091,"R",394107,"R",0,"R",7699396,"R",0,"R",0,"R",0,"R",57679,"R",0,"R",0,"R",0,"R",7757075,"R",1749286,"R",0,"R",2577622,"R",0,"R",0,"R",3321410,"R",7648318
104294,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",844570,"R",0,"R",0,"R",0,"R",844570,"R",844570,"R",0,"R",2518352,"R",0,"R",0,"R",0,"R",0,"R",713381,"A",,"R",844570,"R",4076303,"R",1445717,"R",0,"R",1945261,"A",,"R",0,"R",423790,"R",3814768
104364,"R",13415937,"R",2371094,"R",11044843,"R",13415937,"R",13899513,"R",12510775,"R",-514383,"R",874355,"R",-2174706,"R",12345194,"R",0,"R",11044843,"R",4454459,"R",83000,"R",456077,"R",52547,"R",5046083,"R",5046083,"R",0,"R",7517344,"R",4537459,"R",456077,"R",0,"R",0,"R",0,"R",1388633,"R",0,"R",13899513,"R",1903489,"R",0,"R",9985539,"R",621747,"R",0,"R",0,"R",12510775
104391,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",394981,"R",0,"R",0,"R",0,"R",394981,"R",0,"R",0,"R",693672,"R",0,"R",0,"R",0,"R",4198,"R",25032,"A",,"R",0,"R",722902,"R",199631,"R",0,"R",373385,"A",,"R",0,"R",8717,"R",581733
104434,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",180496,"R",1050,"R",74143,"R",350,"R",256039,"Z",0,"Z",0,"R",440798,"Z",0,"Z",0,"Z",0,"Z",0,"R",66133,"A",,"R",68770,"R",575701,"R",559038,"Z",0,"R",41363,"A",,"Z",0,"R",0,"R",600401
104443,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",809528,"R",9300,"R",32290,"R",3100,"R",854218,"Z",0,"Z",0,"R",1700170,"Z",0,"Z",0,"Z",0,"Z",0,"R",124212,"A",,"R",243355,"R",2067737,"R",1565454,"Z",0,"R",155020,"A",,"Z",0,"R",0,"R",1720474
104504,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",494775,"R",44517,"R",15194,"R",0,"R",554486,"R",0,"R",0,"R",1885957,"R",0,"R",0,"R",0,"R",0,"R",343109,"A",,"R",0,"R",2229066,"R",672944,"R",0,"R",488593,"A",,"R",0,"R",489993,"R",1651530
104531,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6702127,"R",824579,"R",46428,"R",3187994,"R",10761128,"R",1007609,"R",0,"R",30078171,"R",0,"R",0,"R",0,"R",0,"R",0,"R",930781,"R",0,"R",31008952,"R",14272669,"R",0,"R",13155809,"R",344061,"R",2180385,"R",0,"R",29952924
104568,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",903263,"R",0,"R",0,"R",0,"R",903263,"R",0,"R",0,"R",2126518,"R",0,"R",0,"R",0,"R",0,"R",253239,"A",,"R",0,"R",2379757,"R",1570556,"R",0,"R",390636,"A",,"R",0,"R",0,"R",1961192
104717,"R",275095716,"R",147595637,"R",127500079,"R",275095716,"R",385625457,"R",327475236,"R",-22944244,"R",35205977,"R",6265601,"R",86028501,"R",0,"R",127500079,"R",64558268,"R",1055748,"R",499418,"R",55833083,"R",121946517,"R",55833083,"R",0,"R",370404875,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",15220582,"R",0,"R",385625457,"R",88894628,"R",0,"R",228439921,"R",10140687,"R",0,"R",0,"R",327475236
104805,"R",18800041,"R",17418912,"R",1381129,"R",18800041,"C",45065927,"R",51763632,"R",0,"R",-6697704,"R",-135355,"R",8214188,"R",0,"R",1381129,"R",10848483,"R",511242,"R",7740,"R",0,"R",11367465,"R",34971,"R",0,"R",23282838,"R",0,"R",0,"R",0,"R",31782,"R",0,"R",0,"R",169089,"R",23483709,"R",14224067,"R",0,"R",14041025,"R",0,"R",0,"R",0,"R",28265092
104911,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1030361,"R",13293,"R",0,"R",0,"R",1043654,"R",0,"R",0,"R",2816164,"R",0,"R",0,"R",0,"R",0,"R",357859,"A",,"R",0,"R",3174023,"R",1255602,"R",0,"R",454010,"A",,"R",0,"R",1396601,"R",3106213
104984,"R",25380737,"R",1403213,"R",23977524,"R",25380737,"R",3219961,"R",4150255,"R",1860588,"R",930294,"A",,"R",2705018,"R",20342212,"R",23977524,"R",985156,"R",37872,"Z",0,"R",12661,"R",1035689,"Z",0,"Z",0,"R",2949346,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",258879,"R",11736,"R",3219961,"R",713669,"Z",0,"R",2574568,"R",219566,"Z",0,"R",642452,"R",4150255
105118,"R",5386807,"R",737910,"R",4648897,"R",5386807,"R",9128951,"R",8156719,"R",1,"R",972233,"R",0,"R",3676664,"R",0,"R",4648897,"R",2429791,"R",68126,"R",582437,"R",4000,"R",3084354,"R",681528,"R",0,"R",9128951,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9128951,"R",2877022,"R",0,"R",5279696,"R",0,"R",0,"R",1,"R",8156719
105127,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",393186,"R",0,"R",0,"R",0,"R",393186,"R",0,"R",0,"R",1274715,"R",0,"R",0,"R",0,"R",1262,"R",115026,"A",,"R",0,"R",1391003,"R",175575,"R",0,"R",55000,"A",,"R",0,"R",320241,"R",550816
105163,"R",542843,"R",1467556,"R",-924713,"R",542843,"R",10561603,"R",5919109,"R",0,"R",4642494,"A",,"R",-672279,"R",-4894928,"R",-924713,"R",2216882,"R",1700152,"R",6617,"R",37165,"R",3960816,"R",178051,"Z",0,"R",10561603,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",10561603,"R",1720873,"Z",0,"R",4198236,"Z",0,"Z",0,"R",0,"R",5919109
105172,"R",1983074,"R",2323596,"R",-340522,"R",1983074,"R",16212917,"R",8418597,"R",0,"R",7794320,"A",,"R",-867889,"R",-7266953,"R",-340522,"R",3188613,"R",1857001,"R",0,"R",391289,"R",5436903,"R",293779,"Z",0,"R",16212917,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",16212917,"R",2352870,"Z",0,"R",6065726,"Z",0,"Z",0,"R",1,"R",8418597
105215,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",12803000,"R",384000,"R",15000,"R",1596000,"R",14798000,"R",14601000,"R",0,"R",32919000,"R",0,"R",0,"R",0,"R",2000,"R",1495000,"A",,"R",14601000,"R",49017000,"R",12789000,"R",0,"R",25888000,"A",,"R",197000,"R",4092000,"R",42966000
105482,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",360174,"R",6447,"R",0,"R",11249,"R",377870,"Z",0,"Z",0,"R",1403686,"Z",0,"Z",0,"Z",0,"Z",0,"R",322990,"A",,"R",187850,"R",1914526,"R",868595,"Z",0,"R",858335,"A",,"Z",0,"R",0,"R",1726930
105516,"R",1258368508,"R",826297784,"R",432070724,"R",1258368508,"C",4322396767,"C",3544911847,"R",1,"R",777484917,"R",-999304000,"R",653890473,"R",-666,"R",432070724,"R",11852887,"R",6205930,"R",205230,"R",15195278,"R",33459325,"R",1671189,"R",0,"R",45641573,"R",0,"R",0,"R",0,"R",-2040026,"R",3350607,"R",0,"R",0,"R",46952154,"R",7751509,"R",31886,"R",38858186,"R",0,"R",0,"R",2774231,"R",49415812
105534,"R",9207152,"R",3031233,"R",6175919,"R",9207152,"R",15273533,"R",12638307,"R",0,"R",2635226,"R",-2258737,"R",5799429,"R",1,"R",6175919,"R",3657000,"R",20488,"R",6250,"R",0,"R",3683738,"R",0,"R",0,"R",11538236,"R",3677488,"R",6250,"R",0,"R",51559,"R",0,"R",0,"R",0,"R",15273533,"R",4997854,"R",0,"R",7640453,"R",0,"R",0,"R",0,"R",12638307
105543,"R",6917870,"R",1344424,"R",5573446,"R",6917870,"R",11494084,"R",9741244,"R",0,"R",1752840,"R",-2437306,"R",6257912,"R",0,"R",5573446,"R",4192930,"R",46813,"R",0,"R",0,"R",4239743,"R",0,"R",0,"R",7215602,"R",4239743,"R",0,"R",0,"R",38739,"R",0,"R",0,"R",0,"R",11494084,"R",2966097,"R",0,"R",6775147,"R",0,"R",0,"R",0,"R",9741244
105659,"R",21234431,"R",3297091,"R",17937340,"R",21234431,"R",10013644,"R",7985592,"R",0,"R",2028052,"R",850913,"R",15058375,"R",0,"R",17937340,"R",2699370,"R",62349,"R",6629,"R",0,"R",2768348,"R",155797,"R",0,"R",9839444,"R",0,"R",0,"R",0,"R",0,"R",18403,"R",0,"R",155797,"R",10013644,"R",1746829,"R",0,"R",6238763,"R",0,"R",0,"R",0,"R",7985592
105677,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",80287,"R",0,"R",0,"R",0,"R",80287,"R",0,"R",0,"R",693724,"R",0,"R",0,"R",0,"R",0,"R",164900,"A",,"R",0,"R",858624,"R",271300,"Z",0,"R",113972,"A",,"Z",0,"R",1000,"R",386272
105701,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",431331,"R",0,"R",350,"R",0,"R",431681,"R",431681,"R",0,"R",431331,"R",0,"R",0,"R",0,"R",0,"R",62250,"A",,"R",0,"R",493581,"R",303247,"R",0,"R",96077,"A",,"R",0,"R",0,"R",399324
105987,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2334232,"R",38007,"R",38829,"R",12656,"R",2423724,"Z",0,"Z",0,"R",7198620,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",300627,"R",7499247,"R",1544666,"Z",0,"R",4180333,"A",,"Z",0,"R",1100324,"R",6825323
106041,"R",110269000,"R",41974000,"R",68295000,"R",110269000,"R",59649000,"R",50506000,"R",0,"R",9143000,"R",41648000,"R",17504000,"R",0,"R",68295000,"R",12990000,"R",17112000,"R",0,"R",3219000,"R",33321000,"R",28547000,"R",0,"R",29847000,"R",0,"R",0,"R",0,"R",208000,"R",1085000,"R",0,"R",28509000,"R",59649000,"R",13511000,"R",0,"R",30708000,"R",0,"R",4774000,"R",1513000,"R",50506000
106102,"R",14275822,"R",6619440,"R",7656382,"R",14275822,"R",25082716,"R",30669298,"R",0,"R",-5586582,"R",6000000,"R",7242565,"R",399,"R",7656382,"R",5071853,"R",1004410,"R",53538,"R",1380960,"R",7510761,"R",1617848,"R",0,"R",24476371,"R",0,"R",0,"R",0,"R",10755,"R",497218,"R",0,"R",98372,"R",25082716,"R",5150032,"R",13450,"R",25475977,"R",0,"R",0,"R",29839,"R",30669298
106111,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1284603,"R",10200,"R",17359,"R",3400,"R",1315562,"Z",0,"Z",0,"R",2268647,"Z",0,"Z",0,"Z",0,"Z",0,"R",169934,"A",,"R",313016,"R",2751597,"R",2150753,"Z",0,"R",210727,"A",,"Z",0,"R",0,"R",2361480
106281,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",298496,"R",0,"R",11378,"R",0,"R",309874,"R",0,"R",0,"R",89148,"R",298496,"Z",0,"R",0,"R",214,"R",26145,"A",,"R",11378,"R",425381,"R",347234,"R",0,"R",0,"A",,"R",0,"R",0,"R",347234
106315,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",270793,"R",0,"R",0,"R",0,"R",270793,"Z",0,"Z",0,"R",22244,"R",288622,"R",0,"R",0,"R",434,"R",66180,"A",,"R",0,"R",377480,"R",326659,"R",0,"R",0,"A",,"R",0,"R",0,"R",326659
106324,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",190571,"R",0,"R",2183,"R",0,"R",192754,"R",107430,"R",0,"R",291809,"R",0,"R",0,"R",0,"R",0,"R",41635,"A",,"R",0,"R",333444,"R",127905,"R",0,"R",169527,"A",,"R",0,"R",0,"R",297432
106351,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",527429,"R",0,"R",16591,"R",0,"R",544020,"R",0,"R",0,"R",796126,"R",0,"R",0,"R",0,"R",1968,"R",188893,"A",,"R",2725,"R",989712,"R",543256,"R",0,"R",438857,"A",,"R",0,"R",91286,"R",1073399
106360,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",157703,"R",0,"R",100087,"R",2906,"R",260696,"R",2906,"R",0,"R",391397,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",37429,"R",428826,"R",383133,"R",0,"R",10473,"A",,"R",0,"R",0,"R",393606
106494,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",560499,"R",0,"R",41196,"R",5145,"R",606840,"R",5145,"R",0,"R",1276153,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",439150,"R",1715303,"R",1532535,"R",0,"R",41891,"A",,"Z",0,"R",0,"R",1574426
106607,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"N",284070,"N",0,"N",9166,"N",0,"N",293236,"N",0,"N",0,"N",492102,"N",0,"N",0,"N",0,"N",0,"N",53928,"A",,"N",0,"N",546030,"N",142570,"N",0,"N",266342,"A",,"N",0,"N",110978,"N",519890
106892,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2676889,"Z",0,"Z",0,"Z",0,"R",2676889,"Z",0,"Z",0,"R",2676889,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",2332979,"R",5009868,"R",566246,"Z",0,"R",751103,"A",,"Z",0,"R",3015317,"R",4332666
106908,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1049637,"R",0,"R",0,"R",0,"R",1049637,"R",0,"R",0,"R",3964906,"R",0,"R",0,"R",0,"R",0,"R",414017,"A",,"R",0,"R",4378923,"R",1311625,"R",0,"R",1242618,"A",,"R",0,"R",0,"R",2554243
107099,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",335559,"R",0,"R",0,"R",0,"R",335559,"R",0,"R",0,"R",456918,"R",0,"R",0,"R",0,"R",0,"R",82496,"A",,"R",0,"R",539414,"R",181419,"R",0,"R",407915,"A",,"R",0,"R",0,"R",589334
107211,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",143018,"R",0,"R",0,"R",0,"R",143018,"R",0,"R",0,"R",324984,"R",0,"R",0,"R",0,"R",0,"R",130596,"A",,"R",0,"R",455580,"R",194417,"R",14153,"R",94111,"A",,"R",0,"R",52991,"R",355672
107220,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",896583,"R",0,"R",84837,"R",2697,"R",984117,"R",0,"R",0,"R",2125130,"R",0,"R",0,"R",0,"R",0,"R",530631,"A",,"R",0,"R",2655761,"R",782716,"R",0,"R",184440,"A",,"R",0,"R",0,"R",967156
107275,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",61777,"R",0,"R",0,"R",0,"R",61777,"R",0,"R",0,"R",23916,"R",61777,"R",0,"R",0,"R",0,"R",20528,"A",,"R",0,"R",106221,"R",41939,"R",0,"R",77914,"A",,"R",4317,"R",0,"R",124170
107293,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",331754,"R",0,"R",0,"R",0,"R",331754,"R",331754,"R",0,"R",644122,"R",354504,"R",0,"R",0,"R",0,"R",100779,"A",,"R",7951,"R",1107356,"R",164226,"R",0,"R",292363,"A",,"R",0,"R",589333,"R",1045922
107363,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",199628,"Z",0,"Z",0,"Z",0,"R",199628,"Z",0,"Z",0,"R",337778,"Z",0,"Z",0,"Z",0,"Z",0,"R",96889,"A",,"R",0,"R",434667,"R",268586,"Z",0,"R",117498,"A",,"Z",0,"R",0,"R",386084
107442,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",488555,"R",0,"R",0,"R",0,"R",488555,"R",0,"R",0,"R",488555,"R",0,"R",0,"R",0,"R",0,"R",47464,"A",,"R",588133,"R",1124152,"R",146036,"R",0,"R",25000,"A",,"R",0,"R",439882,"R",610918
107655,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",223883,"R",0,"R",28205,"R",0,"R",252088,"R",0,"R",0,"R",644251,"R",0,"R",0,"R",0,"R",0,"R",20781,"A",,"R",1,"R",665033,"R",84000,"R",0,"R",208000,"A",,"R",0,"R",0,"R",292000
107789,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",349778,"R",0,"R",0,"R",0,"R",349778,"R",0,"R",0,"R",1050462,"R",349778,"R",0,"R",0,"R",0,"R",218385,"A",,"R",0,"R",1618625,"R",250432,"R",0,"R",190350,"A",,"R",0,"R",0,"R",440782
107831,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",177627,"R",0,"R",125778,"R",0,"R",303405,"R",0,"R",0,"R",223829,"R",0,"R",125778,"R",46202,"R",0,"R",63462,"A",,"R",61925,"R",521196,"R",169623,"R",0,"R",190347,"A",,"R",0,"R",0,"R",359970
108065,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",77022,"R",0,"R",0,"R",0,"R",77022,"R",6120,"R",0,"R",6060,"R",77022,"R",0,"R",0,"R",0,"R",83424,"A",,"R",0,"R",166506,"R",36000,"R",0,"R",17471,"A",,"R",0,"R",0,"R",53471
108232,"R",77408096,"R",39749207,"R",37658889,"R",77408096,"R",295018912,"R",238128382,"R",0,"R",56890530,"R",-50739937,"R",31508296,"R",0,"R",37658889,"R",17553439,"R",1185958,"R",4121312,"R",3802160,"R",26662869,"R",2297912,"Z",0,"R",276699134,"R",0,"R",0,"R",0,"R",181250,"Z",0,"R",18138528,"R",0,"R",295018912,"R",77855488,"R",0,"R",70825390,"R",29870674,"Z",0,"R",59576830,"R",238128382
108250,"R",797972,"R",3188166,"R",-2390194,"R",797972,"R",14001502,"R",7431740,"R",0,"R",6569762,"A",,"R",-1123956,"R",-7836000,"R",-2390194,"R",3235685,"R",1821305,"R",213017,"R",112964,"R",5382971,"R",314291,"Z",0,"R",14001502,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",14001502,"R",2361240,"Z",0,"R",5070499,"Z",0,"Z",0,"R",1,"R",7431740
