UNITID,XF3A01,F3A01,XF3A02,F3A02,XF3A03,F3A03,XF3A04,F3A04,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3D01,F3D01,XF3D02,F3D02,XF3D03,F3D03,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D08,F3D08,XF3D09,F3D09,XF3E01,F3E01,XF3E02,F3E02,XF3E03,F3E03,XF3E04,F3E04,XF3E05,F3E05,XF3E06,F3E06,XF3E07,F3E07   
461397,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",34276,"Z",0,"Z",0,"Z",0,"R",34276,"Z",0,"Z",0,"R",240577,"R",0,"Z",0,"Z",0,"Z",0,"R",21884,"A",,"R",178513,"R",440974,"R",425298,"Z",0,"R",296051,"A",,"Z",0,"R",0,"R",721349
461403,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",49026,"R",0,"R",0,"R",0,"R",0,"R",13539,"A",,"R",0,"R",62565,"R",34847,"R",0,"R",0,"A",,"R",0,"R",44675,"R",79522
461412,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",868280,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",868280,"R",204804,"R",0,"R",0,"A",,"R",0,"R",477507,"R",682311
461421,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",403191,"R",599312,"Z",0,"Z",0,"R",1002503,"R",0,"R",0,"R",1789988,"Z",0,"Z",0,"Z",0,"Z",0,"R",292546,"A",,"R",0,"R",2082534,"R",724000,"R",727467,"R",113015,"A",,"Z",0,"R",0,"R",1564482
461430,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",116340,"R",0,"R",0,"R",0,"R",116340,"R",0,"R",0,"R",1824200,"R",0,"R",0,"R",0,"R",109841,"R",0,"A",,"R",0,"R",1934041,"R",469154,"R",0,"R",1138583,"A",,"R",0,"R",565477,"R",2173214
461449,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",275222,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",122941,"R",398163,"R",140734,"R",37802,"R",112907,"A",,"R",0,"R",80870,"R",372313
461458,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",80821,"Z",0,"Z",0,"Z",0,"R",80821,"Z",0,"Z",0,"R",713242,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",0,"R",713242,"R",105862,"R",0,"R",500,"A",,"R",0,"R",0,"R",106362
461467,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",124615,"R",0,"R",0,"Z",0,"R",124615,"R",0,"R",0,"R",17800,"R",0,"R",0,"R",0,"Z",0,"R",27251,"A",,"R",21161,"R",66212,"R",46243,"Z",0,"R",27251,"A",,"Z",0,"R",31722,"R",105216
461476,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",50150,"R",0,"R",0,"R",0,"R",50150,"R",0,"R",0,"R",93525,"R",0,"R",0,"R",0,"R",0,"R",48734,"A",,"R",0,"R",142259,"R",22625,"R",0,"R",71813,"A",,"R",0,"R",0,"R",94438
461494,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",830120,"R",0,"R",0,"R",0,"R",0,"R",203584,"A",,"R",0,"R",1033704,"R",251818,"Z",0,"R",62955,"A",,"Z",0,"R",155186,"R",469959
461500,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",37493,"Z",0,"Z",0,"Z",0,"R",37493,"Z",0,"Z",0,"R",162190,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",0,"R",162190,"R",49646,"Z",0,"R",110601,"A",,"Z",0,"R",0,"R",160247
461519,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",12497,"R",0,"R",0,"R",0,"R",12497,"R",0,"R",0,"R",1017672,"R",12497,"R",0,"R",0,"R",0,"R",44921,"A",,"R",0,"R",1075090,"R",129817,"R",0,"R",265839,"A",,"R",0,"R",638375,"R",1034031
